Date,Open,High,Low,Close,Adj Close,Volume
1997-08-01,1191.651001,1223.071045,1116.147949,1221.063965,1221.063965,0
1997-09-01,1224.177002,1264.489014,1025.130005,1097.383057,1097.383057,0
1997-10-01,1100.699951,1241.833008,1087.017944,1180.392944,1180.392944,0
1997-11-01,1181.161987,1213.228027,1114.137939,1139.628052,1139.628052,0
1997-12-01,1137.588013,1198.973999,1119.201050,1194.102051,1194.102051,0
1998-01-01,1200.947998,1250.005005,1110.087036,1222.912964,1222.912964,0
1998-02-01,1257.994995,1262.623047,1189.512939,1206.530029,1206.530029,0
1998-03-01,1196.741943,1252.241943,1175.553955,1243.015991,1243.015991,0
1998-04-01,1243.373047,1343.459961,1240.057983,1343.447998,1343.447998,0
1998-05-01,1353.056030,1411.347046,1324.723999,1411.208984,1411.208984,0
1998-06-01,1418.354004,1422.979004,1323.527954,1339.202026,1339.202026,0
1998-07-01,1363.265015,1367.146973,1278.301025,1316.918945,1316.918945,0
1998-08-01,1315.135010,1315.469971,1043.021973,1150.223022,1150.223022,0
1998-09-01,1142.500000,1264.397949,1123.635010,1242.895996,1242.895996,0
1998-10-01,1245.737061,1263.713013,1191.557007,1217.316040,1217.316040,0
1998-11-01,1217.338013,1300.151978,1210.845947,1247.416992,1247.416992,0
1998-12-01,1249.006958,1251.868042,1125.558960,1146.699951,1146.699951,0
1999-01-01,1144.887939,1174.427002,1104.500977,1134.672974,1134.672974,0
1999-02-01,1131.651001,1131.660034,1064.173950,1090.087036,1090.087036,0
1999-03-01,1092.145020,1177.340942,1084.156006,1158.053955,1158.053955,0
1999-04-01,1158.681030,1210.099976,1087.793945,1120.927002,1120.927002,0
1999-05-01,1120.907959,1303.479980,1047.833008,1279.326050,1279.326050,0
1999-06-01,1283.300049,1756.183960,1259.008057,1689.427979,1689.427979,0
1999-07-01,1678.838013,1678.838013,1471.509033,1601.458984,1601.458984,0
1999-08-01,1607.062012,1658.689941,1546.837036,1627.115967,1627.115967,0
1999-09-01,1627.821045,1695.644043,1556.740967,1570.702026,1570.702026,0
1999-10-01,1568.238037,1568.375000,1452.708984,1504.562988,1504.562988,0
1999-11-01,1501.734985,1506.994019,1427.358032,1434.973022,1434.973022,0
1999-12-01,1434.978027,1461.899048,1341.052002,1366.579956,1366.579956,0
2000-01-01,1368.692993,1547.708008,1361.213989,1534.996948,1534.996948,0
2000-02-01,1591.444946,1770.880005,1583.582031,1714.578003,1714.578003,0
2000-03-01,1720.597046,1811.062988,1596.072021,1800.224976,1800.224976,0
2000-04-01,1799.574951,1858.265015,1746.302002,1836.321045,1836.321045,0
2000-05-01,1848.172974,1908.306030,1695.531006,1894.553955,1894.553955,0
2000-06-01,1900.532959,1953.338989,1884.615967,1928.105957,1928.105957,0
2000-07-01,1917.442017,2024.998047,1888.249023,2023.538940,2023.538940,0
2000-08-01,2027.012939,2114.521973,1980.344971,2021.198975,2021.198975,0
2000-09-01,2009.151001,2026.350952,1874.209961,1910.161011,1910.161011,0
2000-10-01,1912.076050,1980.625977,1896.944946,1961.286987,1961.286987,0
2000-11-01,1961.081055,2125.724121,1959.720947,2070.613037,2070.613037,0
2000-12-01,2073.089111,2097.289063,2024.286011,2073.477051,2073.477051,0
2001-01-01,2077.075928,2131.979980,2007.706055,2065.605957,2065.605957,0
2001-02-01,2069.855957,2072.547119,1893.782959,1959.180054,1959.180054,0
2001-03-01,1959.009033,2112.878906,1953.720947,2112.774902,2112.774902,0
2001-04-01,2117.449951,2179.740967,2081.644043,2119.184082,2119.184082,0
2001-05-01,2119.897949,2222.650879,2119.894043,2214.257080,2214.257080,0
2001-06-01,2216.560059,2245.435059,2157.122070,2218.029053,2218.029053,0
2001-07-01,2220.418945,2223.207031,1909.296997,1920.317993,1920.317993,0
2001-08-01,1925.239014,1990.698975,1795.567017,1834.137939,1834.137939,0
2001-09-01,1831.703003,1888.901001,1750.764038,1764.866943,1764.866943,0
2001-10-01,1766.133057,1773.797974,1514.862061,1689.170044,1689.170044,0
2001-11-01,1692.350952,1748.000000,1550.464966,1747.993042,1747.993042,0
2001-12-01,1751.051025,1776.019043,1593.026001,1645.970947,1645.970947,0
2002-01-01,1643.484985,1643.500000,1339.199951,1491.665039,1491.665039,0
2002-02-01,1494.577026,1544.921021,1476.133057,1524.701050,1524.701050,0
2002-03-01,1521.527954,1693.873047,1494.833984,1603.905029,1603.905029,0
2002-04-01,1598.026001,1680.297974,1575.972046,1667.749023,1667.749023,0
2002-05-01,1669.870972,1670.916992,1506.541992,1515.733032,1515.733032,0
2002-06-01,1510.246948,1748.890015,1455.305054,1732.755005,1732.755005,0
2002-07-01,1736.292969,1741.917969,1647.265015,1651.593994,1651.593994,0
2002-08-01,1650.053955,1696.276978,1624.048950,1666.618042,1666.618042,0
2002-09-01,1666.340942,1680.279053,1577.530029,1581.618042,1581.618042,0
2002-10-01,1577.052002,1577.052002,1488.678955,1507.495972,1507.495972,0
2002-11-01,1507.383057,1573.104004,1353.139038,1434.182007,1434.182007,0
2002-12-01,1432.029053,1439.849976,1348.713989,1357.654053,1357.654053,0
2003-01-01,1347.432983,1508.588013,1311.683960,1499.814941,1499.814941,0
2003-02-01,1499.166016,1524.750977,1474.470947,1511.932007,1511.932007,0
2003-03-01,1511.584961,1529.751953,1447.014038,1510.578003,1510.578003,146400
2003-04-01,1513.000977,1649.603027,1473.265991,1521.443970,1521.443970,458800
2003-05-01,1522.980957,1581.612061,1477.251953,1576.260986,1576.260986,232000
2003-06-01,1577.987061,1582.411987,1483.686035,1486.024048,1486.024048,191000
2003-07-01,1485.520996,1540.193970,1464.865967,1476.741943,1476.741943,182000
2003-08-01,1476.469971,1497.102051,1406.681030,1421.983032,1421.983032,116200
2003-09-01,1423.353027,1456.552979,1348.222046,1367.161011,1367.161011,10195200
2003-10-01,1366.201050,1411.880005,1334.784058,1348.302979,1348.302979,151600
2003-11-01,1346.480957,1423.582031,1307.395020,1397.224976,1397.224976,281400
2003-12-01,1398.706055,1525.298950,1398.706055,1497.043945,1497.043945,402400
2004-01-01,1492.723999,1634.412964,1491.693970,1590.729004,1590.729004,320200
2004-02-01,1630.654053,1730.279053,1585.958008,1675.067017,1675.067017,545000
2004-03-01,1676.222046,1760.076050,1634.709961,1741.623047,1741.623047,414600
2004-04-01,1744.708984,1783.006958,1572.229980,1595.587036,1595.587036,373200
2004-05-01,1600.625977,1606.072021,1508.645020,1555.906006,1555.906006,144000
2004-06-01,1555.562012,1580.569946,1376.218018,1399.161987,1399.161987,221200
2004-07-01,1398.197998,1466.784058,1366.503052,1386.202026,1386.202026,231000
2004-08-01,1381.876953,1424.552979,1310.024048,1342.062012,1342.062012,180600
2004-09-01,1340.750000,1496.213989,1259.432007,1396.699951,1396.699951,389000
2004-10-01,1395.668945,1437.572021,1289.873047,1320.536011,1320.536011,261400
2004-11-01,1317.657959,1387.342041,1290.988037,1340.770996,1340.770996,300200
2004-12-01,1340.916016,1352.454956,1264.151978,1266.495972,1266.495972,221200
2005-01-01,1260.781982,1268.855957,1189.211060,1191.822998,1191.822998,197200
2005-02-01,1189.500977,1328.532959,1187.260010,1306.003052,1306.003052,223200
2005-03-01,1305.249023,1326.076050,1162.031006,1181.235962,1181.235962,310600
2005-04-01,1180.373047,1254.318970,1135.733032,1159.145996,1159.145996,319000
2005-05-01,1160.619995,1165.390015,1043.276001,1060.738037,1060.738037,181000
2005-06-01,1059.609985,1146.416992,998.228027,1080.937988,1080.937988,385600
