Date,Open,High,Low,Close,Adj Close,Volume
1997-01-01,820.400024,831.900024,812.400024,822.299988,822.299988,0
1997-02-01,829.099976,854.400024,824.599976,843.700012,843.700012,0
1997-03-01,837.400024,851.500000,822.900024,835.400024,835.400024,0
1997-04-01,819.700012,837.500000,794.500000,837.500000,837.500000,0
1997-05-01,845.299988,906.299988,845.299988,902.200012,902.200012,0
1997-06-01,896.200012,946.200012,896.200012,942.200012,942.200012,0
1997-07-01,939.700012,979.900024,939.700012,979.900024,979.900024,0
1997-08-01,981.799988,981.799988,923.299988,923.299988,923.299988,0
1997-09-01,911.900024,964.200012,911.900024,964.200012,964.200012,0
1997-10-01,963.500000,984.299988,893.900024,903.000000,903.000000,0
1997-11-01,911.599976,939.799988,889.799988,924.500000,924.500000,0
1997-12-01,926.500000,948.200012,910.599976,937.700012,937.700012,0
1998-01-01,936.599976,965.200012,896.500000,965.200012,965.200012,0
1998-02-01,961.500000,1020.299988,961.500000,1020.299988,1020.299988,0
1998-03-01,1025.300049,1073.300049,1010.500000,1061.400024,1061.400024,0
1998-04-01,1067.400024,1097.199951,1051.599976,1059.300049,1059.300049,0
1998-05-01,1076.500000,1091.500000,1063.800049,1065.300049,1065.300049,0
1998-06-01,1061.800049,1083.099976,1025.699951,1083.099976,1083.099976,0
1998-07-01,1085.699951,1142.900024,1083.400024,1096.300049,1096.300049,0
1998-08-01,1082.699951,1082.699951,969.700012,969.700012,969.700012,0
1998-09-01,937.099976,996.099976,937.099976,979.299988,979.299988,0
1998-10-01,952.400024,1026.300049,908.299988,1026.300049,1026.300049,0
1998-11-01,1037.199951,1119.400024,1037.199951,1119.400024,1119.400024,0
1998-12-01,1097.599976,1155.500000,1078.400024,1148.199951,1148.199951,0
1999-01-01,1150.000000,1195.500000,1136.900024,1164.800049,1164.800049,0
1999-02-01,1173.800049,1175.199951,1123.699951,1146.900024,1146.900024,0
1999-03-01,1141.300049,1199.000000,1123.500000,1188.199951,1188.199951,0
1999-04-01,1187.500000,1252.000000,1187.500000,1237.099976,1237.099976,0
1999-05-01,1233.000000,1242.900024,1175.699951,1186.400024,1186.400024,0
1999-06-01,1186.699951,1241.300049,1186.599976,1234.199951,1234.199951,0
1999-07-01,1240.699951,1280.300049,1232.300049,1232.500000,1232.500000,0
1999-08-01,1235.699951,1271.800049,1191.500000,1243.699951,1243.699951,0
1999-09-01,1232.099976,1265.599976,1205.599976,1205.599976,1205.599976,0
1999-10-01,1218.800049,1257.900024,1197.400024,1257.300049,1257.300049,0
1999-11-01,1280.900024,1341.699951,1273.500000,1336.000000,1336.000000,0
1999-12-01,1315.599976,1419.099976,1315.599976,1419.099976,1419.099976,0
2000-01-01,1420.800049,1422.099976,1334.400024,1334.400024,1334.400024,0
2000-02-01,1338.199951,1391.900024,1323.500000,1330.300049,1330.300049,0
2000-03-01,1340.500000,1448.699951,1340.500000,1419.500000,1419.500000,0
2000-04-01,1431.900024,1432.599976,1329.900024,1369.900024,1369.900024,0
2000-05-01,1370.099976,1379.500000,1295.300049,1337.900024,1337.900024,0
2000-06-01,1334.099976,1394.300049,1334.099976,1366.199951,1366.199951,0
2000-07-01,1377.699951,1405.800049,1329.300049,1329.300049,1329.300049,0
2000-08-01,1337.599976,1388.199951,1336.400024,1374.800049,1374.800049,0
2000-09-01,1379.800049,1398.400024,1297.500000,1312.400024,1312.400024,0
2000-10-01,1312.900024,1312.900024,1214.000000,1261.500000,1261.500000,0
2000-11-01,1282.099976,1300.000000,1198.599976,1207.099976,1207.099976,0
2000-12-01,1203.000000,1259.000000,1178.099976,1228.500000,1228.500000,0
2001-01-01,1211.000000,1243.500000,1200.199951,1243.500000,1243.500000,0
2001-02-01,1244.199951,1249.099976,1134.800049,1149.000000,1149.000000,0
2001-03-01,1137.800049,1152.900024,1014.599976,1055.199951,1055.199951,0
2001-04-01,1055.199951,1180.300049,1024.599976,1137.800049,1137.800049,0
2001-05-01,1137.800049,1168.500000,1114.900024,1120.400024,1120.400024,0
2001-06-01,1120.400024,1140.900024,1067.800049,1086.599976,1086.599976,0
2001-07-01,1086.599976,1086.599976,1039.099976,1058.500000,1058.500000,0
2001-08-01,1069.699951,1083.000000,1013.900024,1018.200012,1018.200012,0
2001-09-01,1017.000000,1020.900024,837.400024,925.700012,925.700012,0
2001-10-01,922.200012,994.700012,919.799988,943.099976,943.099976,0
2001-11-01,958.200012,1009.299988,954.000000,997.900024,997.900024,0
2001-12-01,987.400024,1024.099976,976.299988,1003.099976,1003.099976,0
2002-01-01,1006.599976,1027.800049,959.799988,971.099976,971.099976,0
2002-02-01,971.299988,973.799988,936.500000,958.500000,958.500000,0
2002-03-01,963.400024,1025.699951,963.400024,1003.599976,1003.599976,0
2002-04-01,1005.200012,1006.299988,959.000000,968.000000,968.000000,0
2002-05-01,961.299988,996.700012,949.099976,967.099976,967.099976,0
2002-06-01,966.700012,969.799988,871.099976,909.299988,909.299988,0
2002-07-01,909.400024,912.000000,731.000000,830.299988,830.299988,0
2002-08-01,830.200012,867.599976,771.000000,831.200012,831.200012,0
2002-09-01,829.299988,831.200012,727.500000,737.799988,737.799988,0
2002-10-01,737.500000,826.900024,696.799988,792.099976,792.099976,0
2002-11-01,792.000000,836.200012,784.900024,830.500000,830.500000,0
2002-12-01,832.299988,832.299988,783.900024,792.400024,792.400024,0
2003-01-01,811.000000,831.900024,757.599976,768.299988,768.299988,0
2003-02-01,762.400024,768.900024,738.900024,741.400024,741.400024,0
2003-03-01,752.799988,789.799988,710.099976,766.599976,766.599976,0
2003-04-01,749.000000,816.200012,748.299988,813.700012,813.700012,0
2003-05-01,813.799988,860.799988,810.900024,858.099976,858.099976,0
2003-06-01,856.700012,908.500000,856.700012,872.099976,872.099976,0
2003-07-01,872.299988,903.900024,863.599976,887.900024,887.900024,0
2003-08-01,886.799988,909.200012,866.700012,905.000000,905.000000,0
2003-09-01,905.400024,947.000000,905.400024,910.099976,910.099976,0
2003-10-01,910.500000,969.099976,910.000000,962.099976,962.099976,0
2003-11-01,962.000000,977.799988,950.799988,976.299988,976.299988,0
2003-12-01,976.000000,1036.900024,975.200012,1035.300049,1035.300049,0
2004-01-01,1032.300049,1078.099976,1032.300049,1053.699951,1053.699951,0
2004-02-01,1053.699951,1088.599976,1048.300049,1070.800049,1070.800049,0
2004-03-01,1070.699951,1085.599976,1025.900024,1052.699951,1052.699951,0
2004-04-01,1056.000000,1080.900024,1048.300049,1048.300049,1048.300049,0
2004-05-01,1042.900024,1053.900024,997.000000,1043.300049,1043.300049,0
2004-06-01,1041.800049,1064.699951,1037.800049,1063.599976,1063.599976,0
2004-07-01,1061.000000,1062.500000,1012.900024,1017.900024,1017.900024,0
2004-08-01,1024.300049,1032.599976,997.700012,1032.599976,1032.599976,0
2004-09-01,1027.000000,1056.000000,1027.000000,1040.599976,1040.599976,0
2004-10-01,1044.900024,1071.900024,1044.900024,1068.300049,1068.300049,0
2004-11-01,1072.699951,1135.699951,1072.699951,1132.800049,1132.800049,0
2004-12-01,1132.500000,1167.699951,1127.300049,1165.800049,1165.800049,0
2005-01-01,1170.000000,1170.000000,1128.199951,1137.900024,1137.900024,0
2005-02-01,1149.599976,1183.400024,1144.800049,1175.199951,1175.199951,0
2005-03-01,1174.699951,1195.199951,1138.900024,1150.400024,1150.400024,0
2005-04-01,1150.500000,1159.900024,1111.599976,1122.699951,1122.699951,0
2005-05-01,1121.800049,1149.300049,1113.199951,1138.599976,1138.599976,0
2005-06-01,1138.900024,1169.000000,1138.300049,1148.599976,1148.599976,0
2005-07-01,1148.500000,1194.400024,1135.400024,1187.199951,1187.199951,0
2005-08-01,1186.599976,1214.199951,1178.599976,1196.900024,1196.900024,0
2005-09-01,1197.199951,1227.599976,1197.099976,1222.900024,1222.900024,0
2005-10-01,1222.400024,1224.699951,1160.900024,1193.599976,1193.599976,0
