Date,Close/Last,Open,High,Low
06/03/2024,2871.79,2871.79,2894.44,2862.80
05/31/2024,2861.91,2860.65,2866.91,2833.26
05/30/2024,2837.86,2837.86,2846.65,2819.14
05/29/2024,2821.33,2821.33,2850.26,2815.81
05/28/2024,2859.37,2859.37,2877.48,2850.21
05/24/2024,2865.86,2858.94,2867.19,2846.81
05/23/2024,2875.89,2875.89,2888.39,2861.75
05/22/2024,2860.47,2860.47,2865.07,2834.62
05/21/2024,2864.78,2864.78,2864.93,2833.82
05/20/2024,2842.56,2842.56,2842.60,2830.01
05/17/2024,2825.94,2827.00,2843.73,2820.70
05/16/2024,2843.04,2843.04,2859.74,2815.69
05/15/2024,2849.56,2849.56,2853.67,2831.78
05/14/2024,2833.97,2833.97,2847.09,2825.62
05/13/2024,2830.39,2830.39,2830.41,2812.67
05/10/2024,2802.25,2805.73,2807.31,2787.69
05/09/2024,2776.28,2776.28,2777.46,2772.87
05/08/2024,2775.30,2775.30,2789.63,2769.67
05/07/2024,2778.48,2778.48,2778.48,2737.50
05/06/2024,2731.60,2731.60,2733.66,2711.74
05/03/2024,2711.68,2708.45,2720.28,2678.38
05/02/2024,2718.77,2718.77,2765.21,2710.59
05/01/2024,2750.42,2750.42,2752.69,2724.36
04/30/2024,2756.48,2756.48,2770.20,2715.62
04/29/2024,2749.70,2749.70,2762.15,2746.28
04/26/2024,2747.92,2734.57,2753.23,2720.22
04/25/2024,2705.08,2705.08,2746.23,2692.58
04/24/2024,2743.28,2743.28,2771.48,2740.04
04/23/2024,2769.49,2769.49,2770.94,2737.55
04/22/2024,2732.36,2732.36,2738.65,2701.12
04/19/2024,2709.41,2701.76,2712.91,2682.04
04/18/2024,2706.69,2706.69,2722.74,2690.76
04/17/2024,2707.34,2707.34,2728.41,2702.32
04/16/2024,2706.90,2706.90,2716.76,2686.07
04/15/2024,2747.11,2747.11,2772.22,2745.69
04/12/2024,2739.03,2761.66,2777.02,2736.64
04/11/2024,2733.51,2733.51,2746.12,2716.33
04/10/2024,2742.01,2742.01,2760.38,2711.88
04/09/2024,2739.41,2739.41,2762.93,2735.93
04/08/2024,2757.69,2757.69,2764.17,2736.28
04/05/2024,2738.46,2728.86,2739.58,2712.48
04/04/2024,2747.39,2747.39,2760.12,2739.26
04/03/2024,2753.85,2753.85,2755.46,2731.28
04/02/2024,2737.99,2737.99,2776.17,2727.96
04/01/2024,2751.38,2751.38,2760.03,2750.80
03/28/2024,2756.94,2757.17,2759.40,2756.85
03/27/2024,2775.21,2775.21,2797.57,2768.63
03/26/2024,2794.83,2794.83,2799.82,2774.17
03/25/2024,2789.72,2789.72,2795.04,2771.83
03/22/2024,2789.82,2798.53,2804.75,2787.73
03/21/2024,2811.37,2811.37,2815.00,2780.33
